Longtitude,Latitude,Region,Collected_Time,Collected_Region
109.9937,21.4611,M2211AP,2022-Autumn,Anpu
110.0036111,21.45305556,M2211AP,2022-Autumn,Anpu
110.022205,21.4890749,M2206AP,2022-Summer,Anpu
110.0255555,21.4841666,M2206AP,2022-Summer,Anpu
110.028597,21.45225,M2211AP,2022-Autumn,Anpu
110.031,21.449,M2301AP,2022-Winter,Anpu
110.0613889,21.4725,M2204AP,2022-Spring,Anpu
110.061969,21.4848533,M2206AP,2022-Summer,Anpu
110.1038889,21.47777778,M2201AP,2021-Winter,Anpu
110.1133333,21.53916667,M2201AP,2021-Winter,Anpu
110.133,21.481,M2301AP,2022-Winter,Anpu
110.1338889,21.54361111,M2201AP,2021-Winter,Anpu
110.1347222,21.47888889,M2201AP,2021-Winter,Anpu
110.1355556,21.57666667,M2211AP,2022-Autumn,Anpu
110.1361111,21.57111111,M2211AP,2022-Autumn,Anpu
110.1488889,21.44888889,M2204AP,2022-Spring,Anpu
110.15,21.565,M2301AP,2022-Winter,Anpu
110.1509302,21.5556185,M2206AP,2022-Summer,Anpu
110.1509302,21.5556185,M2207AP,2022-Summer,Anpu
110.1588889,21.56555556,M2204AP,2022-Spring,Anpu
110.2016667,21.51777778,M2204AP,2022-Spring,Anpu
110.22,21.12,M2207ZJ,2022-Summer,Zhanjiang
110.2675,21.23277778,M2204ZJ,2022-Spring,Zhanjiang
110.2688889,21.24305556,M2204ZJ,2022-Spring,Zhanjiang
110.2688889,21.24305556,M2211ZJ,2022-Autumn,Zhanjiang
110.2738889,21.23916667,M2201ZJ,2021-Winter,Zhanjiang
110.2755556,21.23805556,M2206ZJ,2022-Summer,Zhanjiang
110.277,20.746,M2207ZJ,2022-Summer,Zhanjiang
110.277,20.746,M2301ZJ,2022-Winter,Zhanjiang
110.29,21.29611111,M2204ZJ,2022-Spring,Zhanjiang
110.2927778,21.3125,M2210ZJ,2022-Autumn,Zhanjiang
110.2938889,21.25583333,M2211ZJ,2022-Autumn,Zhanjiang
110.3088889,21.685,M2204AP,2022-Spring,Anpu
110.3094444,21.26861111,M2112ZJ,2021-Winter,Zhanjiang
110.3102778,21.26972222,M2206ZJ,2022-Summer,Zhanjiang
110.315,20.301,M2301ZJ,2022-Winter,Zhanjiang
110.3169444,21.3025,M2210ZJ,2022-Autumn,Zhanjiang
110.32,21.31,M2207ZJ,2022-Summer,Zhanjiang
110.3225,21.2675,M2211ZJ,2022-Autumn,Zhanjiang
110.3230556,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3233333,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3236111,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.325,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3252778,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3255556,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3258333,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3261111,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3263889,21.27083333,M2112ZJ,2021-Winter,Zhanjiang
110.3291667,21.24944444,M2201ZJ,2021-Winter,Zhanjiang
110.3294444,21.24888889,M2210ZJ,2022-Autumn,Zhanjiang
110.3297222,21.29083333,M2112ZJ,2021-Winter,Zhanjiang
110.3341667,21.2875,M2206ZJ,2022-Summer,Zhanjiang
110.3347222,21.62194444,M2204AP,2022-Spring,Anpu
110.3383333,21.30222222,M2206ZJ,2022-Summer,Zhanjiang
110.3447222,21.27555556,M2210ZJ,2022-Autumn,Zhanjiang
110.3491667,21.27583333,M2211ZJ,2022-Autumn,Zhanjiang
110.351769,21.2817,M2210ZJ,2022-Autumn,Zhanjiang
111.02,21.52,M2112DB,2021-Winter,Maoming
111.04,21.63,M2112DB,2021-Winter,Maoming
111.657,22.749,M2212YF,2022-Winter,Yunfu
112.892,23.446,M2212SS,2022-Winter,Foshan
113.545616,24.548937,M2212SG,2022-Winter,Shaoguan
113.76,22.78,M2212SZ,2022-Winter,Shenzhen
113.84,22.78,M2212SZ,2022-Winter,Shenzhen
113.841139,22.748899,M2212SZ,2022-Winter,Shenzhen
113.845337,22.766233,M2207ZJ,2022-Summer,Zhanjiang
113.845337,22.766233,M2212SZ,2022-Winter,Shenzhen
113.846419,22.768503,M2212SZ,2022-Winter,Shenzhen
113.896422,22.803959,M2212SZ,2022-Winter,Shenzhen
113.938984,22.794164,M2212SZ,2022-Winter,Shenzhen
113.939858,22.79572,M2212SZ,2022-Winter,Shenzhen
113.9458,22.7993,M2211AP,2022-Autumn,Anpu
113.95,22.81,M2212SZ,2022-Winter,Shenzhen
115.02,23.36,M2209HY,2022-Autumn,Heyuan
115.11,23.55,M2209HY,2022-Autumn,Heyuan
115.35,23.72,M2209HY,2022-Autumn,Heyuan
115.37,23.72,M2209HY,2022-Autumn,Heyuan
115.39,23.72,M2209HY,2022-Autumn,Heyuan
116.27,23.44,M2209HY,2022-Autumn,Heyuan
116.27,23.57,M2209JY,2022-Autumn,Jieyang
116.41,23.57,M2209JY,2022-Autumn,Jieyang
116.42,23.57,M2209JY,2022-Autumn,Jieyang
116.42,23.58,M2209JY,2022-Autumn,Jieyang
116.43,23.57,M2209JY,2022-Autumn,Jieyang
116.47,23.58,M2209JY,2022-Autumn,Jieyang
