"","Pathogen","tissue","meanRPM","Negative","Positive","rate"
"1","Phascolarctobacterium","gut",0.0596381620960987,768,27,3.39622641509434
"2","Phascolarctobacterium","Lung",0,0,0,0
"3","Phascolarctobacterium","Spleen",0.00354188101465797,782,2,0.255102040816327
"4","Paraprevotella","gut",0.11058294783905,747,48,6.0377358490566
"5","Paraprevotella","Lung",0,0,0,0
"6","Paraprevotella","Spleen",0.00398444922386365,782,2,0.255102040816327
"7","Aeromonas","gut",0.0618202110133339,767,28,3.52201257861635
"8","Aeromonas","Lung",0,0,0,0
"9","Aeromonas","Spleen",0.00563536107134317,780,4,0.510204081632653
"19","Roseburia","gut",0.125626359787726,740,55,6.91823899371069
"20","Roseburia","Lung",0,0,0,0
"21","Roseburia","Spleen",0.00931757047054439,778,6,0.76530612244898
"22","Fusobacterium","gut",0.144565017708494,731,64,8.05031446540881
"23","Fusobacterium","Lung",0.0495215294438903,792,37,4.46320868516285
"24","Fusobacterium","Spleen",0.00947243564261555,778,6,0.76530612244898
"31","Bacteroides","gut",0.255545888197421,692,103,12.9559748427673
"32","Bacteroides","Lung",0.0572342933614669,795,34,4.10132689987937
"33","Bacteroides","Spleen",0.0376179272556162,759,25,3.18877551020408
"34","Mycobacteroides","gut",0,0,0,0
"35","Mycobacteroides","Lung",0,0,0,0
"36","Mycobacteroides","Spleen",0.0410468804969448,755,29,3.69897959183673
"37","Prevotella","gut",0.362329010687784,668,127,15.9748427672956
"38","Prevotella","Lung",0.0953658717609508,768,61,7.35826296743064
"39","Prevotella","Spleen",0.0414919902430409,751,33,4.20918367346939
"40","Staphylococcus","gut",0,0,0,0
"41","Staphylococcus","Lung",0,0,0,0
"42","Staphylococcus","Spleen",0.0441070422349243,745,39,4.97448979591837
"43","Helicobacter","gut",0.910542552243478,432,363,45.6603773584906
"44","Helicobacter","Lung",0,0,0,0
"45","Helicobacter","Spleen",0.0586359114340132,741,43,5.48469387755102
"46","Delftia","gut",0,0,0,0
"47","Delftia","Lung",0,0,0,0
"48","Delftia","Spleen",0.0628292018318178,737,47,5.99489795918367
"49","Roseateles","gut",0,0,0,0
"50","Roseateles","Lung",0.201723176315799,707,122,14.7165259348613
"51","Roseateles","Spleen",0.122198228555729,701,83,10.5867346938776
"52","Acinetobacter","gut",0,0,0,0
"53","Acinetobacter","Lung",0,0,0,0
"54","Acinetobacter","Spleen",0.17778330986588,645,139,17.7295918367347
"55","Methylobacterium","gut",0,0,0,0
"56","Methylobacterium","Lung",0.287193156864583,676,153,18.4559710494572
"57","Methylobacterium","Spleen",0.213605449194156,666,118,15.0510204081633
"61","Bartonella","gut",0,0,0,0
"62","Bartonella","Lung",0.0793008047541961,769,60,7.23763570566948
"63","Bartonella","Spleen",0.26006340876014,652,132,16.8367346938775
"64","Cupriavidus","gut",0,0,0,0
"65","Cupriavidus","Lung",0.325228774773311,660,169,20.3860072376357
"66","Cupriavidus","Spleen",0.26687955629957,645,139,17.7295918367347
"67","Pseudomonas","gut",0,0,0,0
"68","Pseudomonas","Lung",0.450169773686014,596,233,28.1061519903498
"69","Pseudomonas","Spleen",0.343283476602219,597,187,23.8520408163265
"70","Cutibacterium","gut",0,0,0,0
"71","Cutibacterium","Lung",0.651949032198485,425,404,48.7334137515078
"72","Cutibacterium","Spleen",0.447390041987113,508,276,35.2040816326531
"73","Lachnoclostridium","gut",0.0527733659381419,770,25,3.14465408805031
"74","Lachnoclostridium","Lung",0.00563143041321245,825,4,0.482509047044632
"75","Lachnoclostridium","Spleen",0,0,0,0
"82","Parabacteroides","gut",0.217860714551248,708,87,10.9433962264151
"83","Parabacteroides","Lung",0.0166555527523921,815,14,1.68878166465621
"84","Parabacteroides","Spleen",0,0,0,0
"91","Comamonas","gut",0,0,0,0
"92","Comamonas","Lung",0.017568818357064,811,18,2.17129071170084
"93","Comamonas","Spleen",0,0,0,0
"106","Schaedlerella","gut",0.0338412175615537,779,16,2.0125786163522
"107","Schaedlerella","Lung",0,0,0,0
"108","Schaedlerella","Spleen",0,0,0,0
"109","Colidextribacter","gut",0.0387467802511366,779,16,2.0125786163522
"110","Colidextribacter","Lung",0,0,0,0
"111","Colidextribacter","Spleen",0,0,0,0
"112","Plesiomonas","gut",0.0643775512506353,765,30,3.77358490566038
"113","Plesiomonas","Lung",0,0,0,0
"114","Plesiomonas","Spleen",0,0,0,0
"115","Segatella","gut",0.0717948370862571,768,27,3.39622641509434
"116","Segatella","Lung",0,0,0,0
"117","Segatella","Spleen",0,0,0,0
"118","Pseudoflavonifractor","gut",0.0858216686621464,754,41,5.15723270440252
"119","Pseudoflavonifractor","Lung",0,0,0,0
"120","Pseudoflavonifractor","Spleen",0,0,0,0
"121","Lachnospira","gut",0.0890099324820951,755,40,5.0314465408805
"122","Lachnospira","Lung",0,0,0,0
"123","Lachnospira","Spleen",0,0,0,0
"124","Acetatifactor","gut",0.104402752658719,748,47,5.91194968553459
"125","Acetatifactor","Lung",0,0,0,0
"126","Acetatifactor","Spleen",0,0,0,0
"127","Ruminococcus","gut",0.130486549427748,739,56,7.0440251572327
"128","Ruminococcus","Lung",0,0,0,0
"129","Ruminococcus","Spleen",0,0,0,0
"130","Alistipes","gut",0.147142343772008,726,69,8.67924528301887
"131","Alistipes","Lung",0,0,0,0
"132","Alistipes","Spleen",0,0,0,0
"133","Oscillibacter","gut",0.150252016987065,730,65,8.17610062893082
"134","Oscillibacter","Lung",0,0,0,0
"135","Oscillibacter","Spleen",0,0,0,0
"136","Eubacterium","gut",0.15479259228022,721,74,9.30817610062893
"137","Eubacterium","Lung",0,0,0,0
"138","Eubacterium","Spleen",0,0,0,0
"139","Desulfovibrio","gut",0.160312604305019,729,66,8.30188679245283
"140","Desulfovibrio","Lung",0,0,0,0
"141","Desulfovibrio","Spleen",0,0,0,0
"142","Treponema","gut",0.214418225748579,699,96,12.0754716981132
"143","Treponema","Lung",0,0,0,0
"144","Treponema","Spleen",0,0,0,0
"145","Phocaeicola","gut",0.225273216124005,708,87,10.9433962264151
"146","Phocaeicola","Lung",0,0,0,0
"147","Phocaeicola","Spleen",0,0,0,0
"148","Clostridium","gut",0.314609356886595,659,136,17.1069182389937
"149","Clostridium","Lung",0,0,0,0
"150","Clostridium","Spleen",0,0,0,0
