"","Pathogen","2021-Winter","2022-Autumn","2022-Spring","2022-Summer","2022-Winter","agricultural aera","Anpu","Bandicota indica","Berylmys sp.","Foshan","Heyuan","Jieyang","Maoming","Mus caroli","Niviventer lotipes","Rattus andamanensis","Rattus losea","Rattus norvegicus","Rattus tanezumi","residential aera","Shaoguang","Shenzhen","Suncus murinus","Yunfu","Zhanjiang"
"Angiostrongylus cantonensis","Angiostrongylus cantonensis","","*","","","","","","**","","","*","**","","","","","","","","","","","","",""
"Babesia microti","Babesia microti","","","","","","","","","","","","","","","**","","","","","","","","","*",""
"Bartonella kosoyi","Bartonella kosoyi","","","","","","","","**","","","","","","","","","","*","","","*","","","",""
"Cryptosporidium ubiquitum","Cryptosporidium ubiquitum","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hepatozoon sp","Hepatozoon sp","","","","","","","","","","","","","","","","*","","","*","","","","","",""
"Klebsiella variicola","Klebsiella variicola","","","","","","*","","","","","","","","","","","","","","*","","*","*","",""
"Pneumocystis carinii","Pneumocystis carinii","","","","","**","**","","**","","","","","**","","","","","**","","**","","","","",""
"Pneumocystis murina","Pneumocystis murina","","","","","","","*","*","","","","","","","","","","","","","","","","",""
"Pneumocystis sus","Pneumocystis sus","","","","","","","","","","","","","","","","","","","","","","","**","",""
"Pneumocystis wakefieldiae","Pneumocystis wakefieldiae","","","","","*","","","**","*","","","","","","","","*","*","**","","**","*","*","",""
"Rat hepatitis E virus","Rat hepatitis E virus","","","","*","","**","","**","","","","","","","","","","**","**","**","*","*","*","","**"
"Seoul orthohantavirus","Seoul orthohantavirus","","","","*","","**","","","","","","","","","","","","**","","**","","","","",""
"Trypanosoma lewis","Trypanosoma lewis","","","","","","*","","**","","","","","","","","","","","**","*","","","","",""
"Wenzhou mammarenavirus","Wenzhou mammarenavirus","","","","","","","","**","","","","","*","","","","","*","","","","","**","",""
