"","Pathogen","Gut","Lung","Spleen"
"Adenoviridae","Adenoviridae",1.76100628930818,0.361881785283474,0
"Anelloviridae","Anelloviridae",0.251572327044025,1.68878166465621,32.9081632653061
"Astro-Poty","Astro-Poty",8.80503144654088,0.482509047044632,1.02040816326531
"Bunya_Arena","Bunya_Arena",5.0314465408805,7.84077201447527,4.71938775510204
"Circoviridae","Circoviridae",0.125786163522013,0.844390832328106,1.27551020408163
"Flavi","Flavi",1.50943396226415,4.583835946924,4.59183673469388
"Hepe-Virga","Hepe-Virga",2.26415094339623,4.82509047044632,5.99489795918367
"Mono-Chu","Mono-Chu",0.251572327044025,0.965018094089264,0.255102040816327
"Narna-Levi","Narna-Levi",4.0251572327044,0.965018094089264,0
"Nido","Nido",7.42138364779874,9.65018094089264,7.01530612244898
"Partiti-Picobirna","Partiti-Picobirna",4.52830188679245,0.723763570566948,0
"Parvoviridae","Parvoviridae",11.1949685534591,8.08202653799759,17.219387755102
"Permutotetra","Permutotetra",0.125786163522013,0,0
"Picorna-Calici","Picorna-Calici",10.8176100628931,0.120627261761158,0.76530612244898
"Reo","Reo",0,0.844390832328106,0.38265306122449
"Tombus-Noda","Tombus-Noda",4.40251572327044,1.68878166465621,0.127551020408163
"Toti","Toti",0.377358490566038,0.361881785283474,0
